id,category_id,category_name,block_number,block_text,question_code,question_number,question_text,check_box,max_select,option_select,option_code,option_text,response_message,companion_advice,tone_tag,next_question_id,version
1,1,成功与人生目标,1,人生目标,1_1,1,您认为衡量孩子人生成功的最重要标准是？(请最多选择三项),TRUE,3,A,1_1_A, 学业/职业成就,,,,,
2,1,成功与人生目标,1,人生目标,1_1,1,您认为衡量孩子人生成功的最重要标准是？(请最多选择三项),TRUE,3,B,1_1_B, 经济收入水平,,,,,
3,1,成功与人生目标,1,人生目标,1_1,1,您认为衡量孩子人生成功的最重要标准是？(请最多选择三项),TRUE,3,C,1_1_C, 社会地位与人脉,,,,,
4,1,成功与人生目标,1,人生目标,1_1,1,您认为衡量孩子人生成功的最重要标准是？(请最多选择三项),TRUE,3,D,1_1_D, 家庭幸福与健康,,,,,
5,1,成功与人生目标,1,人生目标,1_1,1,您认为衡量孩子人生成功的最重要标准是？(请最多选择三项),TRUE,3,E,1_1_E, 自我实现与兴趣发展,,,,,
6,1,成功与人生目标,1,人生目标,1_1,1,您认为衡量孩子人生成功的最重要标准是？(请最多选择三项),TRUE,3,F,1_1_F, 对社会/族群的贡献,,,,,
7,1,成功与人生目标,1,人生目标,1_1,1,您认为衡量孩子人生成功的最重要标准是？(请最多选择三项),TRUE,3,OTHER,1_1_OTHER,其他,,,,,
8,1,成功与人生目标,2,学业成功,1_2,2,您认为孩子的学业成功“公式”是什么？(请最多选择两项),TRUE,2,A,1_2_A,上藤校,希望孩子进入顶尖大学是许多家长心中的理想。,"名校确实提供资源，但成功也取决于孩子的兴趣、心理健康、性格和社会技能。
探讨""藤校光环""与真实教育需求的平衡
分享成功人士的多元教育路径案例
提醒关注心理健康成本（如""斯坦福鸭子综合症""）
 同时留出时间培养兴趣爱好，让学业与心理健康并行。",,,
9,1,成功与人生目标,2,学业成功,1_2,2,您认为孩子的学业成功“公式”是什么？(请最多选择两项),TRUE,2,B,1_2_B,进入科技行业,看重科技行业的前景和稳定性是现实而务实的想法。,科技行业前景好，但竞争激烈。帮助孩子培养跨领域能力可以让他们在变化中保持竞争力。鼓励他们在学习技术的同时，发展沟通与团队合作能力——这是职场晋升的隐形门票。多与行业朋友分享趋势，帮孩子看到职业发展的多种路径。,,,
10,1,成功与人生目标,2,学业成功,1_2,2,您认为孩子的学业成功“公式”是什么？(请最多选择两项),TRUE,2,C,1_2_C,读医学院或法学院,重视稳定与社会地位是很多父母的共识。,"医学之路漫长且压力大，建议在鼓励孩子的同时关注他们的心理和身体健康。关注孩子是否对医疗行业真有兴趣，而不仅是为了稳定和声望。 鼓励他们参与志愿或影子医生项目，感受真实的工作节奏与挑战。
法学院毕业不见得能找到高薪工作。入门职位面临更大的 AI 挑战。",,,
